pseudogroup,pubID,weeks,cluster,cluster_size
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_14,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_17,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_18,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_19,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_20,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_16_7_True_G002-145_5,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_18_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV1-5*03_18_7_True_G002-145_2,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_14_7_True_G002-145_4,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-145_20,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_15_7_True_G002-145_24,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_16_7_True_G002-145_0,3
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-145_0,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_17_7_True_G002-145_15,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_18_7_True_G002-145_0,5
1.0,G002-145,8,IGHV1-2*02_IGKV3-15*01_21_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_13_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_10,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_2,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_3,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_4,4
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_40,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_44,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_5,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_15_7_True_G002-145_8,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_1,3
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_11,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_27,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_3,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_30,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_4,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_16_7_True_G002-145_5,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-145_0,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-145_1,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-145_10,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_17_7_True_G002-145_11,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-145_1,2
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-145_17,1
1.0,G002-145,8,IGHV1-2*02_IGKV3-20*01_18_7_True_G002-145_3,2
