trial,pseudogroup,weeks,pubID,KD_fix_iGL
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-630,5.206e-05
G003,G003,iGL,G003-630,
G003,G003,iGL,G003-710,5.206e-05
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,
G003,G003,iGL,G003-710,5.206e-05
G003,G003,iGL,G003-732,4.085e-08
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-732,5.206e-05
G003,G003,iGL,G003-732,
G003,G003,iGL,G003-753,2.2e-09
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-753,5.206e-05
G003,G003,iGL,G003-753,
G003,G003,iGL,G003-768,
G003,G003,iGL,G003-799,2.489e-08
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,
G003,G003,iGL,G003-799,0.0001
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,
G003,G003,iGL,G003-831,7.783e-07
